"ts","log_file","micro_batch_index","index_in_batch","total_in_batch","ok","recovered_from_output","sample_id","target_level","model","provider","source_article_id","source_dataset","source_file","article_id","hit_target","rounds_used","fidelity_overall","prompt_tokens","completion_tokens","total_tokens","llm_calls","elapsed_ms","error","status"
"2026/3/1 12:49:24","adjust_main_n8_mb01_2026-03-01T12-48-35-675Z.jsonl","1","1","24","True","False","questions_ielts_13_test1_passage1_b1idvj_to_l1_r1_x-ai_grok-4.1-fast","1","x-ai/grok-4.1-fast","openrouter","ielts_13_test1_passage1_b1idvj","questions","ielts_13_test1_passage1_b1idvj.json","39e6942f-3ceb-4e0f-b205-b1ca33c46b73","True","1","0.9434","1611","5853","7464","1","48991",,
"2026/3/1 12:50:13","adjust_main_n8_mb01_2026-03-01T12-48-35-675Z.jsonl","1","2","24","True","False","questions_ielts_13_test1_passage3_91iewj_to_l1_r2_x-ai_grok-4.1-fast","1","x-ai/grok-4.1-fast","openrouter","ielts_13_test1_passage3_91iewj","questions","ielts_13_test1_passage3_91iewj.json","56454b91-b0e4-44f2-847a-a404bb7e7566","True","1","0.9759","1701","4610","6311","1","48254",,
"2026/3/1 12:50:57","adjust_main_n8_mb01_2026-03-01T12-48-35-675Z.jsonl","1","3","24","True","False","questions_ielts_13_test2_passage1_21iffj_to_l1_r3_x-ai_grok-4.1-fast","1","x-ai/grok-4.1-fast","openrouter","ielts_13_test2_passage1_21iffj","questions","ielts_13_test2_passage1_21iffj.json","a6940a7b-72d3-4907-865f-5a032d833647","True","1","0.9489","1610","4758","6368","1","43992",,
"2026/3/1 12:51:37","adjust_main_n8_mb01_2026-03-01T12-48-35-675Z.jsonl","1","4","24","True","False","questions_ielts_13_test2_passage3_61igdj_to_l1_r4_x-ai_grok-4.1-fast","1","x-ai/grok-4.1-fast","openrouter","ielts_13_test2_passage3_61igdj","questions","ielts_13_test2_passage3_61igdj.json","a26e269a-972c-45a2-9787-509fc75dc6d6","True","1","0.8587","1749","4091","5840","1","39200",,
"2026/3/1 12:52:31","adjust_main_n8_mb01_2026-03-01T12-48-35-675Z.jsonl","1","5","24","True","False","questions_ielts_13_test3_passage1_41igvj_to_l1_r5_x-ai_grok-4.1-fast","1","x-ai/grok-4.1-fast","openrouter","ielts_13_test3_passage1_41igvj","questions","ielts_13_test3_passage1_41igvj.json","94370425-9d84-4317-a39d-8994cb16c322","True","1","0.9571","1620","5666","7286","1","54430",,
"2026/3/1 12:56:21","adjust_main_n8_mb01_2026-03-01T12-48-35-675Z.jsonl","1","6","24","True","False","questions_ielts_13_test4_passage1_91iiaj_to_l1_r6_x-ai_grok-4.1-fast","1","x-ai/grok-4.1-fast","openrouter","ielts_13_test4_passage1_91iiaj","questions","ielts_13_test4_passage1_91iiaj.json","69c98677-7ddf-4f3b-ae7b-ccb401a19f51","True","2","0.9686","3456","19414","22870","2","229329",,
"2026/3/1 12:59:35","adjust_main_n8_mb01_2026-03-01T12-48-35-675Z.jsonl","1","7","24","True","False","questions_ielts_13_test4_passage3_21ij7j_to_l1_r7_x-ai_grok-4.1-fast","1","x-ai/grok-4.1-fast","openrouter","ielts_13_test4_passage3_21ij7j","questions","ielts_13_test4_passage3_21ij7j.json","a4aba8fc-ee56-45b9-8ba6-12df4db1422d","True","3","0.9426","4916","20749","25665","3","193488",,
"2026/3/1 13:00:25","adjust_main_n8_mb01_2026-03-01T12-48-35-675Z.jsonl","1","8","24","True","False","questions_ielts_14_test1_passage1_f277jj_to_l1_r8_x-ai_grok-4.1-fast","1","x-ai/grok-4.1-fast","openrouter","ielts_14_test1_passage1_f277jj","questions","ielts_14_test1_passage1_f277jj.json","f12658a2-b32f-4e36-8519-c3ab15703004","True","1","0.9437","1687","4689","6376","1","50162",,
"2026/3/1 13:03:17","adjust_main_n8_mb01_2026-03-01T12-48-35-675Z.jsonl","1","9","24","True","False","questions_ielts_14_test1_passage3_f278wj_to_l2_r1_x-ai_grok-4.1-fast","2","x-ai/grok-4.1-fast","openrouter","ielts_14_test1_passage3_f278wj","questions","ielts_14_test1_passage3_f278wj.json","4c17bd10-01f2-4774-8a53-d50dfbaadfdc","True","3","0.9129","4830","17703","22533","3","171456",,
"2026/3/1 13:06:48","adjust_main_n8_mb01_2026-03-01T12-48-35-675Z.jsonl","1","10","24","True","False","questions_ielts_14_test2_passage1_f279uj_to_l2_r2_x-ai_grok-4.1-fast","2","x-ai/grok-4.1-fast","openrouter","ielts_14_test2_passage1_f279uj","questions","ielts_14_test2_passage1_f279uj.json","49a9a294-8fd0-4f41-b505-d8b9c9a7ab72","True","3","0.9859","5298","23474","28772","3","211153",,
"2026/3/1 13:07:55","adjust_main_n8_mb01_2026-03-01T12-48-35-675Z.jsonl","1","11","24","True","False","questions_ielts_14_test2_passage3_827asj_to_l2_r3_x-ai_grok-4.1-fast","2","x-ai/grok-4.1-fast","openrouter","ielts_14_test2_passage3_827asj","questions","ielts_14_test2_passage3_827asj.json","f2772eba-c3dc-4662-a1ff-432cbcfd841e","True","1","0.9337","1559","8469","10028","1","66794",,
"2026/3/1 13:11:35","adjust_main_n8_mb01_2026-03-01T12-48-35-675Z.jsonl","1","12","24","True","False","questions_ielts_14_test3_passage1_927bfj_to_l2_r4_x-ai_grok-4.1-fast","2","x-ai/grok-4.1-fast","openrouter","ielts_14_test3_passage1_927bfj","questions","ielts_14_test3_passage1_927bfj.json","8bfecb9a-717e-4c55-a86e-213d2e2d8635","True","3","0.9514","4892","23309","28201","3","219660",,
"2026/3/1 13:12:22","adjust_main_n8_mb01_2026-03-01T12-48-35-675Z.jsonl","1","13","24","True","False","questions_ielts_14_test3_passage3_527cnj_to_l2_r5_x-ai_grok-4.1-fast","2","x-ai/grok-4.1-fast","openrouter","ielts_14_test3_passage3_527cnj","questions","ielts_14_test3_passage3_527cnj.json","269acfc5-bec2-4323-bac9-2f1046b67d0d","True","1","0.955","1805","7375","9180","1","46645",,
"2026/3/1 13:13:16","adjust_main_n8_mb01_2026-03-01T12-48-35-675Z.jsonl","1","14","24","True","False","questions_ielts_14_test4_passage1_c27d7j_to_l2_r6_x-ai_grok-4.1-fast","2","x-ai/grok-4.1-fast","openrouter","ielts_14_test4_passage1_c27d7j","questions","ielts_14_test4_passage1_c27d7j.json","149522a8-4905-4196-9914-84064c2e6885","True","1","0.975","1622","5671","7293","1","53115",,
"2026/3/1 13:14:21","adjust_main_n8_mb01_2026-03-01T12-48-35-675Z.jsonl","1","15","24","True","False","questions_ielts_14_test4_passage2_c27dnj_to_l2_r7_x-ai_grok-4.1-fast","2","x-ai/grok-4.1-fast","openrouter","ielts_14_test4_passage2_c27dnj","questions","ielts_14_test4_passage2_c27dnj.json","e9854fc1-b3da-4917-8714-7d175541907f","True","1","0.8714","1523","6878","8401","1","64704",,
"2026/3/1 13:15:11","adjust_main_n8_mb01_2026-03-01T12-48-35-675Z.jsonl","1","16","24","True","False","questions_ielts_14_test4_passage3_527e3j_to_l2_r8_x-ai_grok-4.1-fast","2","x-ai/grok-4.1-fast","openrouter","ielts_14_test4_passage3_527e3j","questions","ielts_14_test4_passage3_527e3j.json","481adcd8-5a38-4c2f-a0c3-1d27a948223a","True","1","0.9337","1660","8446","10106","1","49463",,
"2026/3/1 13:16:15","adjust_main_n8_mb01_2026-03-01T12-48-35-675Z.jsonl","1","17","24","True","False","questions_ielts_15_test1_passage1_727epj_to_l3_r1_x-ai_grok-4.1-fast","3","x-ai/grok-4.1-fast","openrouter","ielts_15_test1_passage1_727epj","questions","ielts_15_test1_passage1_727epj.json","605edea9-f7ca-4196-9ce3-d78bb40a134a","True","1","1","1734","6993","8727","1","64209",,
"2026/3/1 13:16:53","adjust_main_n8_mb01_2026-03-01T12-48-35-675Z.jsonl","1","18","24","True","False","questions_ielts_15_test1_passage3_e27fnj_to_l3_r2_x-ai_grok-4.1-fast","3","x-ai/grok-4.1-fast","openrouter","ielts_15_test1_passage3_e27fnj","questions","ielts_15_test1_passage3_e27fnj.json","787ad228-9694-4903-8f1a-a31e1147b1ec","True","1","0.971","1743","4076","5819","1","37280",,
"2026/3/1 13:17:19","adjust_main_n8_mb01_2026-03-01T12-48-35-675Z.jsonl","1","19","24","True","False","questions_ielts_15_test2_passage3_827h2j_to_l3_r3_x-ai_grok-4.1-fast","3","x-ai/grok-4.1-fast","openrouter","ielts_15_test2_passage3_827h2j","questions","ielts_15_test2_passage3_827h2j.json","7ca81dcc-e035-43d2-9709-9e9e140baa10","True","1","0.9464","1795","4088","5883","1","25801",,
"2026/3/1 13:17:53","adjust_main_n8_mb01_2026-03-01T12-48-35-675Z.jsonl","1","20","24","True","False","questions_ielts_15_test3_passage1_e27hmj_to_l3_r4_x-ai_grok-4.1-fast","3","x-ai/grok-4.1-fast","openrouter","ielts_15_test3_passage1_e27hmj","questions","ielts_15_test3_passage1_e27hmj.json","792e9e2b-2b7f-4fb8-8d88-319b830f7391","True","1","1","1705","6225","7930","1","33993",,
"2026/3/1 13:19:00","adjust_main_n8_mb01_2026-03-01T12-48-35-675Z.jsonl","1","21","24","True","False","questions_ielts_15_test3_passage3_b27iij_to_l3_r5_x-ai_grok-4.1-fast","3","x-ai/grok-4.1-fast","openrouter","ielts_15_test3_passage3_b27iij","questions","ielts_15_test3_passage3_b27iij.json","7e35ec72-9713-4f72-914f-d9da6e58e707","True","1","0.9531","1787","8880","10667","1","66648",,
"2026/3/1 13:20:06","adjust_main_n8_mb01_2026-03-01T12-48-35-675Z.jsonl","1","22","24","True","False","questions_ielts_15_test4_passage1_327j0j_to_l3_r6_x-ai_grok-4.1-fast","3","x-ai/grok-4.1-fast","openrouter","ielts_15_test4_passage1_327j0j","questions","ielts_15_test4_passage1_327j0j.json","d8c6ed7c-9afa-4f83-ae1f-da081a9b2296","True","1","0.9743","1809","11914","13723","1","65173",,
"2026/3/1 13:20:48","adjust_main_n8_mb01_2026-03-01T12-48-35-675Z.jsonl","1","23","24","True","False","questions_ielts_15_test4_passage2_027jhj_to_l3_r7_x-ai_grok-4.1-fast","3","x-ai/grok-4.1-fast","openrouter","ielts_15_test4_passage2_027jhj","questions","ielts_15_test4_passage2_027jhj.json","4f107fba-d343-40e1-9455-43210750b0bb","True","1","0.964","1641","6697","8338","1","41954",,
"2026/3/1 13:22:30","adjust_main_n8_mb01_2026-03-01T12-48-35-675Z.jsonl","1","24","24","True","False","questions_ielts_15_test4_passage3_027jxj_to_l3_r8_x-ai_grok-4.1-fast","3","x-ai/grok-4.1-fast","openrouter","ielts_15_test4_passage3_027jxj","questions","ielts_15_test4_passage3_027jxj.json","6ac543e8-ff30-481d-be01-aa8805928317","True","2","0.94","3045","12017","15062","2","102161",,
"2026/3/1 12:50:39","adjust_main_n8_mb02_2026-03-01T12-48-35-695Z.jsonl","2","1","24","True","False","questions_ielts_16_test1_passage1_827khj_to_l4_r1_x-ai_grok-4.1-fast","4","x-ai/grok-4.1-fast","openrouter","ielts_16_test1_passage1_827khj","questions","ielts_16_test1_passage1_827khj.json","4ad309cd-6ae5-4a2d-b21b-70bd98a7154e","True","1","1","1653","11176","12829","1","123591",,
"2026/3/1 12:51:53","adjust_main_n8_mb02_2026-03-01T12-48-35-695Z.jsonl","2","2","24","True","False","questions_ielts_16_test1_passage3_c27ldj_to_l4_r2_x-ai_grok-4.1-fast","4","x-ai/grok-4.1-fast","openrouter","ielts_16_test1_passage3_c27ldj","questions","ielts_16_test1_passage3_c27ldj.json","ed489117-551d-42c5-bb19-f75968acfd10","True","1","0.9565","1686","7111","8797","1","73908",,
"2026/3/1 12:56:44","adjust_main_n8_mb02_2026-03-01T12-48-35-695Z.jsonl","2","3","24","True","False","questions_ielts_16_test2_passage1_927lvj_to_l4_r3_x-ai_grok-4.1-fast","4","x-ai/grok-4.1-fast","openrouter","ielts_16_test2_passage1_927lvj","questions","ielts_16_test2_passage1_927lvj.json","65038136-7e5c-49c9-8ea8-564ebdeaf1fa","True","2","1","3768","26948","30716","2","290923",,
"2026/3/1 12:57:14","adjust_main_n8_mb02_2026-03-01T12-48-35-695Z.jsonl","2","4","24","True","False","questions_ielts_16_test2_passage2_a27mbj_to_l4_r4_x-ai_grok-4.1-fast","4","x-ai/grok-4.1-fast","openrouter","ielts_16_test2_passage2_a27mbj","questions","ielts_16_test2_passage2_a27mbj.json","1da5ce96-8156-4539-b0c9-7c4648b1db6d","True","1","0.9603","1781","2612","4393","1","29680",,
"2026/3/1 12:58:36","adjust_main_n8_mb02_2026-03-01T12-48-35-695Z.jsonl","2","5","24","True","False","questions_ielts_16_test2_passage3_027mtj_to_l4_r5_x-ai_grok-4.1-fast","4","x-ai/grok-4.1-fast","openrouter","ielts_16_test2_passage3_027mtj","questions","ielts_16_test2_passage3_027mtj.json","7f1e7bb7-debc-4238-a1ff-cde84c5d5a95","True","1","0.9591","1583","7577","9160","1","81899",,
"2026/3/1 12:59:27","adjust_main_n8_mb02_2026-03-01T12-48-35-695Z.jsonl","2","6","24","True","False","questions_ielts_16_test3_passage1_827nbj_to_l4_r6_x-ai_grok-4.1-fast","4","x-ai/grok-4.1-fast","openrouter","ielts_16_test3_passage1_827nbj","questions","ielts_16_test3_passage1_827nbj.json","26e6ceca-0710-4f20-84ad-f753e8bfb8fb","True","1","0.9526","1687","5752","7439","1","50752",,
"2026/3/1 13:00:30","adjust_main_n8_mb02_2026-03-01T12-48-35-695Z.jsonl","2","7","24","True","False","questions_ielts_16_test3_passage3_227o8j_to_l4_r7_x-ai_grok-4.1-fast","4","x-ai/grok-4.1-fast","openrouter","ielts_16_test3_passage3_227o8j","questions","ielts_16_test3_passage3_227o8j.json","9ef8b8ae-21ff-4459-a233-31d1c2021348","True","1","0.9534","1665","7692","9357","1","62324",,
"2026/3/1 13:01:47","adjust_main_n8_mb02_2026-03-01T12-48-35-695Z.jsonl","2","8","24","True","False","questions_ielts_16_test4_passage1_d27oqj_to_l4_r8_x-ai_grok-4.1-fast","4","x-ai/grok-4.1-fast","openrouter","ielts_16_test4_passage1_d27oqj","questions","ielts_16_test4_passage1_d27oqj.json","037866d2-12a3-4519-aca7-c0802b465c30","True","1","1","1766","10527","12293","1","76477",,
"2026/3/1 13:02:48","adjust_main_n8_mb02_2026-03-01T12-48-35-695Z.jsonl","2","9","24","True","False","questions_ielts_16_test4_passage2_027p7j_to_l5_r1_x-ai_grok-4.1-fast","5","x-ai/grok-4.1-fast","openrouter","ielts_16_test4_passage2_027p7j","questions","ielts_16_test4_passage2_027p7j.json","b2df0f44-36bc-4990-b545-f5c1cd4260af","True","1","1","1776","9008","10784","1","60360",,
"2026/3/1 13:06:00","adjust_main_n8_mb02_2026-03-01T12-48-35-695Z.jsonl","2","10","24","True","False","questions_ielts_16_test4_passage3_c27puj_to_l5_r2_x-ai_grok-4.1-fast","5","x-ai/grok-4.1-fast","openrouter","ielts_16_test4_passage3_c27puj","questions","ielts_16_test4_passage3_c27puj.json","3468a0a4-ba5c-49bb-b195-911c5a5a13b1","True","2","0.969","3294","16864","20158","2","192174",,
"2026/3/1 13:08:15","adjust_main_n8_mb02_2026-03-01T12-48-35-695Z.jsonl","2","11","24","True","False","questions_ielts_17_test1_passage1_c27quj_to_l5_r3_x-ai_grok-4.1-fast","5","x-ai/grok-4.1-fast","openrouter","ielts_17_test1_passage1_c27quj","questions","ielts_17_test1_passage1_c27quj.json","06e6b59c-4385-435c-b92c-241d8f483a93","True","2","0.9671","3514","16853","20367","2","135003",,
"2026/3/1 13:09:47","adjust_main_n8_mb02_2026-03-01T12-48-35-695Z.jsonl","2","12","24","True","False","questions_ielts_17_test1_passage3_d27rrj_to_l5_r4_x-ai_grok-4.1-fast","5","x-ai/grok-4.1-fast","openrouter","ielts_17_test1_passage3_d27rrj","questions","ielts_17_test1_passage3_d27rrj.json","7e95a8a0-f18c-470f-a6e9-30d429a9f8bf","True","1","0.98","1854","10648","12502","1","91733",,
"2026/3/1 13:14:55","adjust_main_n8_mb02_2026-03-01T12-48-35-695Z.jsonl","2","13","24","False","True","questions_ielts_17_test2_passage1_627s9j_to_l5_r5_x-ai_grok-4.1-fast","5","x-ai/grok-4.1-fast",,"ielts_17_test2_passage1_627s9j","questions","ielts_17_test2_passage1_627s9j.json",,,,,,,,,"306896","fetch failed",
"2026/3/1 13:16:00","adjust_main_n8_mb02_2026-03-01T12-48-35-695Z.jsonl","2","14","24","True","False","questions_ielts_17_test2_passage3_627t7j_to_l5_r6_x-ai_grok-4.1-fast","5","x-ai/grok-4.1-fast","openrouter","ielts_17_test2_passage3_627t7j","questions","ielts_17_test2_passage3_627t7j.json","94b179a0-bbd5-4eab-8f5f-e9b9ba498922","True","1","0.9918","1806","10062","11868","1","64914",,
"2026/3/1 13:17:20","adjust_main_n8_mb02_2026-03-01T12-48-35-695Z.jsonl","2","15","24","True","False","questions_ielts_17_test3_passage1_c27tpj_to_l5_r7_x-ai_grok-4.1-fast","5","x-ai/grok-4.1-fast","openrouter","ielts_17_test3_passage1_c27tpj","questions","ielts_17_test3_passage1_c27tpj.json","7702050b-8331-4bfd-8cad-4021da1d6ab1","True","1","0.91","1689","6903","8592","1","79483",,
"2026/3/1 13:18:16","adjust_main_n8_mb02_2026-03-01T12-48-35-695Z.jsonl","2","16","24","True","False","questions_ielts_17_test3_passage3_f27umj_to_l5_r8_x-ai_grok-4.1-fast","5","x-ai/grok-4.1-fast","openrouter","ielts_17_test3_passage3_f27umj","questions","ielts_17_test3_passage3_f27umj.json","352ef32d-afee-46b9-bac9-efef96a5c15d","True","1","1","1903","9593","11496","1","56520",,
"2026/3/1 13:21:14","adjust_main_n8_mb02_2026-03-01T12-48-35-695Z.jsonl","2","17","24","True","False","generated_0350be07-6c09-40f8-a55b-a43f7fb8faab_to_l1_r1_x-ai_grok-4.1-fast","1","x-ai/grok-4.1-fast","openrouter","0350be07-6c09-40f8-a55b-a43f7fb8faab","generated","0350be07-6c09-40f8-a55b-a43f7fb8faab.json","013e0d1f-7e59-4a46-8316-34707fd025b7","True","3","0.755","4174","21083","25257","3","177271",,
"2026/3/1 13:21:49","adjust_main_n8_mb02_2026-03-01T12-48-35-695Z.jsonl","2","18","24","True","False","generated_039cb4b4-1508-481e-abd4-522e76f3ccf3_to_l1_r2_x-ai_grok-4.1-fast","1","x-ai/grok-4.1-fast","openrouter","039cb4b4-1508-481e-abd4-522e76f3ccf3","generated","039cb4b4-1508-481e-abd4-522e76f3ccf3.json","07a9d556-009e-4010-9f6f-1727985291cb","True","1","1","1342","5275","6617","1","34388",,
"2026/3/1 13:26:56","adjust_main_n8_mb02_2026-03-01T12-48-35-695Z.jsonl","2","19","24","False","True","generated_09edb394-a0f6-4424-a226-f4deeb51e99f_to_l1_r3_x-ai_grok-4.1-fast","1","x-ai/grok-4.1-fast",,"09edb394-a0f6-4424-a226-f4deeb51e99f","generated","09edb394-a0f6-4424-a226-f4deeb51e99f.json",,,,,,,,,"306817","fetch failed",
"2026/3/1 13:32:03","adjust_main_n8_mb02_2026-03-01T12-48-35-695Z.jsonl","2","20","24","False","True","generated_0abb6f8a-2252-4304-a020-1cdf392abadd_to_l1_r4_x-ai_grok-4.1-fast","1","x-ai/grok-4.1-fast",,"0abb6f8a-2252-4304-a020-1cdf392abadd","generated","0abb6f8a-2252-4304-a020-1cdf392abadd.json",,,,,,,,,"306786","fetch failed",
"2026/3/1 13:35:35","adjust_main_n8_mb02_2026-03-01T12-48-35-695Z.jsonl","2","21","24","True","False","generated_0ae1cae6-1308-47f1-b1d7-c27541b36b95_to_l1_r5_x-ai_grok-4.1-fast","1","x-ai/grok-4.1-fast","openrouter","0ae1cae6-1308-47f1-b1d7-c27541b36b95","generated","0ae1cae6-1308-47f1-b1d7-c27541b36b95.json","16f19d3e-2644-421e-82ec-35cbb366affc","True","3","0.7813","3083","23493","26576","3","211408",,
"2026/3/1 13:40:41","adjust_main_n8_mb02_2026-03-01T12-48-35-695Z.jsonl","2","22","24","True","False","generated_0bef376f-b893-43d1-820d-00fba9ab6838_to_l1_r6_x-ai_grok-4.1-fast","1","x-ai/grok-4.1-fast","openrouter","0bef376f-b893-43d1-820d-00fba9ab6838","generated","0bef376f-b893-43d1-820d-00fba9ab6838.json","008e8b5a-977e-4537-8567-0a510effbfdd","True","5","0.7712","5137","33562","38699","5","306202",,
"2026/3/1 13:45:23","adjust_main_n8_mb02_2026-03-01T12-48-35-695Z.jsonl","2","23","24","True","False","generated_0c073ba2-1279-4572-a200-bd170c99d332_to_l1_r7_x-ai_grok-4.1-fast","1","x-ai/grok-4.1-fast","openrouter","0c073ba2-1279-4572-a200-bd170c99d332","generated","0c073ba2-1279-4572-a200-bd170c99d332.json","913556fa-4d80-4b37-bcca-e674f902d2d8","True","4","0.7323","5336","32441","37777","4","281041",,
"2026/3/1 13:46:59","adjust_main_n8_mb02_2026-03-01T12-48-35-695Z.jsonl","2","24","24","True","False","generated_0c413512-f7ee-4e64-b5f2-e35d46dc7ad7_to_l1_r8_x-ai_grok-4.1-fast","1","x-ai/grok-4.1-fast","openrouter","0c413512-f7ee-4e64-b5f2-e35d46dc7ad7","generated","0c413512-f7ee-4e64-b5f2-e35d46dc7ad7.json","0ef6935d-08d9-4656-8d69-b8dac01e704a","True","1","0.9908","1361","8634","9995","1","96307",,
