batch_id,experiment_id,model,sample_id,article_id,target_level,hit_target_final,round,accepted,reason,distance_to_target,best_distance_before,best_distance_after,distance_delta_vs_best_before,improved_this_round,fidelity_overall,fk,fre,ari,coleman_liau,gunning_fog,llm_errors_so_far
adj_q_small_20260228_225617,ch5_small_adjust_questions_20260228_225617,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l1,9d1a1454-20e0-4411-a986-9b895035362e,1,true,1,true,"accepted_variant|strategy=Syntactic changes (sentence splits, replacements, and restructures for shorter simpler sentences)|applied_edits=23|tier=coarse_jump;dist=4.9400;dir=simpler;est_wb=80;est_sb=15",0.1675,4.94,0.1675,-4.7725,true,0.9379,6.74,63.91,6.02,9.37,5.2,0
adj_q_small_20260228_225617,ch5_small_adjust_questions_20260228_225617,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,5ab3d2f0-324a-4343-b767-1b58ae4f2b0d,2,true,1,true,accepted_variant|strategy=Balanced: combine lexical word substitutions with syntactic sentence restructurings|applied_edits=19|tier=dist_gt_2;dist=2.9400;center_gap=2.77;mode=both;dominant=word;dir_changed=0;wb=80;sb=15;est_wb=80;est_sb=10;lf=1.19;df=2.10;af=na;pg=na;pd=na;af_fb=0,1.36,2.94,1.36,-1.58,true,0.9845,10.63,49.9,10.41,11.38,9.02,0
adj_q_small_20260228_225617,ch5_small_adjust_questions_20260228_225617,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l2,5ab3d2f0-324a-4343-b767-1b58ae4f2b0d,2,true,2,true,accepted_variant|strategy=BALANCED|applied_edits=22|tier=dist_1_to_2;dist=1.3600;center_gap=1.02;mode=word_only;dominant=word;dir_changed=0;wb=52;sb=3;est_wb=80;est_sb=4;lf=1.17;df=1.58;af=0.8608;pg=2.9400;pd=1.5800;af_fb=0,0.89,1.36,0.89,-0.47,true,0.969,10.08,52.88,9.81,10.9,8.77,0
adj_q_small_20260228_225617,ch5_small_adjust_questions_20260228_225617,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l3,6a03f19b-c1a2-4a14-b860-458f4740fff4,3,true,1,true,accepted_variant|strategy=syntactic|applied_edits=3|tier=dist_lt_1;dist=0.9400;center_gap=1.11;mode=word_budget_3;dominant=word;dir_changed=0;wb=20;sb=6;est_wb=80;est_sb=6;lf=1.19;df=1.37;af=na;pg=na;pd=na;af_fb=0,0.4575,0.94,0.4575,-0.4825,true,0.9845,11.83,43.8,11.75,12.31,9.94,0
adj_q_small_20260228_225617,ch5_small_adjust_questions_20260228_225617,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l4,93d10aa7-6e62-4e6b-96f1-a33d09ccd269,4,true,1,false,llm_error:Failed to parse JSON|tier=dist_1_to_2;dist=1.0600;center_gap=1.23;mode=sentence_only;dominant=sentence;dir_changed=0;wb=40;sb=15;est_wb=63;est_sb=14;lf=1.19;df=1.43;af=na;pg=na;pd=na;af_fb=0,1.06,1.06,1.06,0,false,1,12.36,42.43,12.47,12.44,10.49,1
adj_q_small_20260228_225617,ch5_small_adjust_questions_20260228_225617,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l4,93d10aa7-6e62-4e6b-96f1-a33d09ccd269,4,true,2,true,accepted_variant|strategy=Balanced approach (combined lexical word substitutions and syntactic sentence restructurings)|applied_edits=13|tier=dist_1_to_2;dist=1.0600;center_gap=1.23;mode=sentence_only;dominant=sentence;dir_changed=0;wb=40;sb=15;est_wb=63;est_sb=14;lf=1.19;df=1.43;af=1.0000;pg=1.0600;pd=0.0000;af_fb=1,0.515,1.06,0.515,-0.545,true,1,13,40.61,13.26,12.58,11.1,1
adj_q_small_20260228_225617,ch5_small_adjust_questions_20260228_225617,x-ai/grok-4.1-fast,ielts_13_test1_passage1_b1idvj_to_l5,57c9ec91-ba45-4b6b-b80d-90ff20010522,5,true,1,true,"accepted_variant|strategy=Primarily syntactic changes (sentence replacements, merges, and restructurings for dense, complex syntax)|applied_edits=29|tier=coarse_jump;dist=1.6867;dir=harder;est_wb=80;est_sb=12",0.6817,1.6867,0.6817,-1.005,true,0.9279,15.36,17.75,15.59,17.32,11.55,0
adj_q_small_20260228_225617,ch5_small_adjust_questions_20260228_225617,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l1,ac6d11a6-54ef-4c35-ac67-bef591606a3a,1,true,1,true,accepted_variant|strategy=Primarily syntactic changes (sentence replacements/splits/merges)|applied_edits=15|tier=coarse_jump;dist=3.2000;dir=simpler;est_wb=80;est_sb=14,0.6675,3.2,0.6675,-2.5325,true,1,7.39,62.24,7.02,10.03,6.23,0
adj_q_small_20260228_225617,ch5_small_adjust_questions_20260228_225617,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l2,914a3ba7-beb4-4929-bcf6-658c9ff9f3ae,2,true,1,true,accepted_variant|strategy=SYNTACTIC|applied_edits=19|tier=dist_1_to_2;dist=1.2000;center_gap=0.96;mode=word_only;dominant=word;dir_changed=0;wb=80;sb=7;est_wb=80;est_sb=6;lf=1.24;df=1.50;af=na;pg=na;pd=na;af_fb=0,0.6625,1.2,0.6625,-0.5375,true,0.992,9.52,55.89,9.84,11.24,8.05,0
adj_q_small_20260228_225617,ch5_small_adjust_questions_20260228_225617,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l3,b6e1d100-bab3-4ab4-b5a7-e9f21322c27e,3,true,1,true,accepted_variant|strategy=Syntactic changes (sentence mergers and restructurings for longer structures)|applied_edits=6|tier=dist_lt_1;dist=0.8000;center_gap=1.21;mode=sentence_budget_1;dominant=sentence;dir_changed=0;wb=40;sb=9;est_wb=70;est_sb=16;lf=1.24;df=1.30;af=na;pg=na;pd=na;af_fb=0,0.035,0.8,0.035,-0.765,true,1,11.1,50.79,11.68,11.68,9.68,0
adj_q_small_20260228_225617,ch5_small_adjust_questions_20260228_225617,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l4,8cfad3ed-4028-4807-a9ae-bb85c34922c5,4,true,1,true,"accepted_variant|strategy=Syntactic intensification: sentence mergers, expansions, and subordinate clause proliferation|applied_edits=14|tier=dist_gt_2;dist=2.8000;center_gap=3.21;mode=both;dominant=sentence;dir_changed=0;wb=80;sb=19;est_wb=80;est_sb=19;lf=1.24;df=2.10;af=na;pg=na;pd=na;af_fb=0",1.0475,2.8,1.0475,-1.7525,true,1,12.07,40.36,12.34,13.54,9.86,0
adj_q_small_20260228_225617,ch5_small_adjust_questions_20260228_225617,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l4,8cfad3ed-4028-4807-a9ae-bb85c34922c5,4,true,2,true,"accepted_variant|strategy=Syntactic changes: sentence-length-only adjustments via merges, splits, and clause densification to increase complexity, preserving original vocabulary|applied_edits=11|tier=dist_1_to_2;dist=1.0475;center_gap=1.58;mode=sentence_only;dominant=sentence;dir_changed=0;wb=24;sb=11;est_wb=77;est_sb=19;lf=1.24;df=1.42;af=0.5977;pg=2.8000;pd=1.7525;af_fb=0",0.35,1.0475,0.35,-0.6975,true,1,12.9,37.46,13.26,13.78,10.66,0
adj_q_small_20260228_225617,ch5_small_adjust_questions_20260228_225617,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l5,346a8951-2a8c-4ecb-b353-951931daffc0,5,true,1,true,"accepted_variant|strategy=Primary focus on syntactic changes via sentence restructurings, mergers, and complexifications|applied_edits=15|tier=coarse_jump;dist=2.2667;dir=harder;est_wb=80;est_sb=19",1.5033,2.2667,1.5033,-0.7634,true,0.9839,12.55,36.22,12.75,14.25,10.41,0
adj_q_small_20260228_225617,ch5_small_adjust_questions_20260228_225617,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l5,346a8951-2a8c-4ecb-b353-951931daffc0,5,true,2,true,accepted_variant|strategy=Syntactic|applied_edits=9|tier=dist_1_to_2;dist=1.5033;center_gap=5.1;mode=sentence_only;dominant=sentence;dir_changed=0;wb=52;sb=19;est_wb=80;est_sb=16;lf=1.24;df=1.65;af=1.9692;pg=2.2667;pd=0.7634;af_fb=0,1.0742,1.5033,1.0742,-0.4291,true,0.9839,14.01,32.33,14.61,14.59,11.9,0
adj_q_small_20260228_225617,ch5_small_adjust_questions_20260228_225617,x-ai/grok-4.1-fast,ielts_13_test1_passage3_91iewj_to_l5,346a8951-2a8c-4ecb-b353-951931daffc0,5,true,3,true,accepted_variant|strategy=syntactic|applied_edits=14|tier=dist_1_to_2;dist=1.0742;center_gap=3.49;mode=sentence_only;dominant=sentence;dir_changed=0;wb=52;sb=16;est_wb=80;est_sb=11;lf=1.25;df=1.44;af=2.5034;pg=1.5033;pd=0.4291;af_fb=0,0.2858,1.0742,0.2858,-0.7884,true,0.9839,16.76,25.13,18.14,14.96,14.71,0
